location_id,town_name,latitude,longitude,existing_chargers_in_10_miles,resident_number_in_10_miles,car_number_in_10_miles,traffic_volume_in_10_miles,demand_score,recommendation_rank,recommendation_reason,recommendation_date
LOC_5919,Ang Mo Kio,1.361477,103.854712,8,294537,33413,8219,90.2,84,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3888,Ang Mo Kio,1.369593,103.846008,6,293479,34046,7805,90.18,85,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9091,Jurong West,1.336394,103.704516,3,245459,34913,9540,90.18,86,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4727,Ang Mo Kio,1.378588,103.844408,9,299028,37315,7135,90.13,87,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9017,Pasir Ris,1.373702,103.952078,5,259164,34168,9315,90.13,88,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7079,Yishun,1.427661,103.836963,1,296876,36352,6201,89.97,89,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9051,Bukit Batok,1.353428,103.74539,0,231965,35333,9526,89.92,90,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6439,Yishun,1.430622,103.844424,6,294418,34401,7524,89.89,91,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2173,Ang Mo Kio,1.371504,103.844752,14,291664,30556,9817,89.88,92,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6565,Jurong West,1.341732,103.707877,8,251366,37129,9286,89.87,93,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9476,Pasir Ris,1.372677,103.939949,1,273362,26217,9835,89.81,94,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1555,Serangoon,1.364338,103.861753,0,240089,39430,8005,89.73,95,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3273,Sengkang,1.396201,103.891392,7,278682,36179,7929,89.72,96,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9115,Toa Payoh,1.334841,103.856516,1,292637,22682,9708,89.72,97,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5766,Ang Mo Kio,1.371001,103.859185,3,297202,23488,9569,89.7,98,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9573,Yishun,1.422781,103.837331,4,227663,39537,9177,89.69,99,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8273,Jurong West,1.345721,103.707547,5,271418,37358,7683,89.69,100,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7781,Sengkang,1.399525,103.897319,2,275351,36051,7354,89.67,101,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5640,Toa Payoh,1.341804,103.860472,6,291549,37495,6785,89.67,102,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1744,Pasir Ris,1.378433,103.948967,2,295430,35168,6572,89.67,103,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7419,Sengkang,1.388338,103.89053,7,260655,36726,8660,89.65,104,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1884,Jurong West,1.340676,103.700173,8,281969,32642,8752,89.62,105,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4002,Woodlands,1.440059,103.792114,2,223489,37155,9638,89.6,106,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3494,Bukit Batok,1.357715,103.751155,4,285325,33985,7615,89.56,107,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6806,Jurong West,1.335753,103.707823,8,277475,34434,8499,89.56,108,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9348,Bukit Batok,1.355014,103.76265,15,260895,37117,9693,89.53,109,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8083,Tampines,1.357521,103.965358,6,247771,33299,9916,89.46,110,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1788,Bukit Batok,1.360393,103.756376,10,292515,39273,6759,89.41,111,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3352,Yishun,1.427328,103.828571,4,275984,32187,8418,89.33,112,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4772,Tampines,1.346485,103.964496,12,289942,39258,7146,89.32,113,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9436,Toa Payoh,1.339053,103.853122,8,279192,37500,7498,89.27,114,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5574,Ang Mo Kio,1.369462,103.844934,1,252804,37410,7753,89.19,115,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1641,Tampines,1.351992,103.952332,8,275081,32817,8831,89.18,116,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7016,Serangoon,1.361123,103.877071,8,244057,34784,9850,89.1,117,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8914,Sengkang,1.394788,103.886663,2,278921,29927,8409,89.07,118,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6363,Tampines,1.357,103.961152,5,285283,29215,8695,89.03,119,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6967,Yishun,1.426667,103.827079,5,273280,33069,8330,89.02,120,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7000,Jurong West,1.330557,103.69996,3,234657,35183,9418,88.99,121,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1781,Toa Payoh,1.339577,103.853476,0,279201,24963,9275,88.95,122,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4177,Ang Mo Kio,1.3806,103.850445,0,290205,36937,5710,88.91,123,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8156,Pasir Ris,1.381352,103.949074,18,265714,35976,9868,88.9,124,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8407,Toa Payoh,1.328783,103.854974,2,294856,22770,9306,88.88,125,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3876,Ang Mo Kio,1.372993,103.842624,19,269374,38020,9295,88.84,126,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4205,Jurong West,1.346183,103.718813,0,269235,27795,8968,88.76,127,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2931,Serangoon,1.356674,103.867208,7,250451,36944,8666,88.75,128,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9487,Sengkang,1.394367,103.892428,9,296489,30849,8177,88.73,129,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8994,Woodlands,1.442228,103.789384,1,275770,30315,8142,88.72,130,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6873,Ang Mo Kio,1.371554,103.84011,4,221924,38772,9132,88.64,131,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5354,Ang Mo Kio,1.363344,103.847158,3,286649,37129,6147,88.62,132,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8253,Woodlands,1.437691,103.784564,8,263415,39740,7393,88.6,133,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7358,Sengkang,1.388809,103.902274,2,278525,30614,8013,88.59,134,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8870,Yishun,1.433844,103.826675,5,272950,35154,7609,88.59,135,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6290,Woodlands,1.428764,103.781666,4,238802,38398,8345,88.57,136,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7889,Ang Mo Kio,1.372119,103.850979,4,268659,36930,7205,88.54,137,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3275,Bukit Batok,1.358578,103.748101,4,269338,31497,8522,88.53,138,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5958,Toa Payoh,1.336478,103.866136,10,281426,38908,6946,88.49,139,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3717,Woodlands,1.440297,103.79528,6,270127,30491,8975,88.41,140,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1805,Sengkang,1.388671,103.896751,6,246421,39544,7882,88.38,141,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4421,Sengkang,1.381322,103.888562,5,224955,37914,9204,88.36,142,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2168,Ang Mo Kio,1.373864,103.842807,13,284935,34390,8283,88.35,143,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2123,Tampines,1.356678,103.952268,14,233129,39744,9676,88.34,144,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3502,Jurong West,1.345688,103.706088,11,265061,34098,9017,88.29,145,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9449,Woodlands,1.437219,103.776441,15,299401,37092,7145,88.28,146,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9398,Yishun,1.429452,103.833558,3,244460,31399,9511,88.27,147,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6131,Sengkang,1.39359,103.897812,12,296455,32335,8020,88.25,148,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2464,Woodlands,1.444343,103.792388,10,234533,39856,8928,88.24,149,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1424,Woodlands,1.439364,103.782562,0,283080,26822,8257,88.23,150,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3003,Pasir Ris,1.371631,103.9543,4,280393,30214,8140,88.23,151,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6233,Tampines,1.341525,103.963677,14,283652,34329,8442,88.21,152,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1319,Serangoon,1.357589,103.862445,17,262053,39935,8552,88.18,153,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1087,Toa Payoh,1.324486,103.854895,2,228603,39166,8162,88.17,154,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1526,Woodlands,1.427735,103.787914,7,285540,27848,8876,88.13,155,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4435,Jurong West,1.340937,103.699508,6,282557,25382,9493,88.13,156,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5132,Serangoon,1.352132,103.874804,8,299300,32229,7227,88.1,157,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2530,Woodlands,1.437129,103.777025,11,296616,34892,7137,88.08,158,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4539,Sengkang,1.39111,103.902194,10,273532,38918,7133,88.08,159,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1746,Ang Mo Kio,1.369337,103.847657,4,242443,35469,8645,88.07,160,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4387,Tampines,1.353751,103.962641,7,296214,38109,5732,88.04,161,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2133,Sengkang,1.386505,103.897609,1,270038,22738,9979,88.03,162,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7985,Yishun,1.439412,103.842085,3,266137,31746,8224,88.03,163,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4644,Serangoon,1.361721,103.870449,2,276586,33538,7091,88.01,164,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_4126,Ang Mo Kio,1.371972,103.843576,4,294926,21029,9571,87.95,165,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2800,Ang Mo Kio,1.364905,103.851674,16,289485,38094,7355,87.91,166,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9445,Sengkang,1.391613,103.900569,8,251222,39880,7624,87.91,167,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5773,Yishun,1.435589,103.835654,17,295275,38875,7011,87.89,168,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3708,Yishun,1.422306,103.830454,2,234843,35712,8568,87.88,169,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1112,Woodlands,1.445586,103.788523,0,265335,34362,7077,87.87,170,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5285,Tampines,1.355203,103.955731,0,239535,36647,7783,87.84,171,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8725,Toa Payoh,1.342135,103.862756,10,227726,38414,9417,87.81,172,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7718,Serangoon,1.366469,103.872751,5,297234,33297,6463,87.8,173,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8003,Woodlands,1.433787,103.788327,18,295093,31512,8962,87.79,174,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3601,Pasir Ris,1.377666,103.95253,10,248468,34425,9362,87.78,175,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3837,Serangoon,1.360539,103.876209,0,258840,28981,8701,87.78,176,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9723,Tampines,1.34768,103.964746,7,291718,37342,5990,87.72,177,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1330,Pasir Ris,1.382734,103.954159,13,293471,30675,8470,87.72,178,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7389,Bukit Batok,1.353193,103.744608,7,268879,27696,9536,87.71,179,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1246,Sengkang,1.38209,103.885301,17,252372,35861,9821,87.71,180,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8973,Yishun,1.429494,103.837923,0,255461,26629,9420,87.7,181,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_8774,Jurong West,1.337908,103.707786,12,258456,33569,9313,87.66,182,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1670,Serangoon,1.365058,103.87549,11,275457,26942,9969,87.65,183,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9003,Jurong West,1.347529,103.704353,2,287113,33565,6380,87.65,184,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6163,Yishun,1.439882,103.83466,6,260878,26628,9994,87.59,185,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7554,Serangoon,1.353713,103.871293,12,284254,38400,6772,87.57,186,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6140,Ang Mo Kio,1.375256,103.847538,0,253563,35146,7319,87.57,187,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7095,Pasir Ris,1.376887,103.939994,12,284675,27741,9412,87.56,188,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9563,Yishun,1.431527,103.843993,15,277671,32389,9049,87.56,189,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_1302,Tampines,1.354333,103.960698,3,245648,37573,7549,87.55,190,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_9331,Pasir Ris,1.37033,103.948571,8,286982,24493,9497,87.54,191,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7450,Sengkang,1.389303,103.889059,7,280794,37380,6432,87.53,192,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_5145,Yishun,1.425364,103.835111,15,288641,28842,9372,87.53,193,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_7866,Toa Payoh,1.338312,103.855238,4,294188,38210,5098,87.52,194,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_3190,Woodlands,1.431853,103.78283,1,213777,37592,8817,87.51,195,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_2441,Sengkang,1.387718,103.886052,2,290879,39018,4742,87.48,196,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
LOC_6030,Toa Payoh,1.332552,103.854062,4,219527,35851,9396,87.47,197,"High resident, car number, and traffic volume with low existing chargers",2024-09-28
